rank,symbol,inst_id,name_cn,1H_趋势,1H_交易价格,1H_交易时间,1H_盈亏%,1H_收盘价,MACD_1H,DIF_1H,ADX_1H,ATR_1H,SAR_1H,SAR颜色_1H,ER_1H,4H_趋势,4H_交易价格,4H_交易时间,4H_盈亏%,4H_收盘价,MACD_4H,DIF_4H,ADX_4H,ATR_4H,SAR_4H,SAR颜色_4H,ER_4H,1D_趋势,1D_交易价格,1D_交易时间,1D_盈亏%,1D_收盘价,MACD_1D,DIF_1D,ADX_1D,ATR_1D,SAR_1D,SAR颜色_1D,ER_1D,15m_趋势,15m_交易价格,15m_交易时间,15m_盈亏%,15m_收盘价,MACD_15m,DIF_15m,ADX_15m,ATR_15m,SAR_15m,SAR颜色_15m,ER_15m
11,LTC,LTC-USDT-SWAP,莱特币,上涨,56.84,2026-9-19 02:00:00,32.37,58.68,0.2544,1.1299,58.99,9.9608,57.8324,green,0.9359,上涨,50.85,2026-9-17 00:00:00,153.98,58.68,1.3315,1.2726,33.95,16.8252,56.4844,green,1.0,上涨,58.68,2026-9-19 00:00:00,0.0,58.68,0.3783,1.6217,31.76,41.0532,53.1816,green,0.3645,下跌,57.95,2026-9-19 09:00:00,-12.6,58.68,-0.0858,0.3706,29.58,5.6595,58.56,green,0.1429
12,SHIB,SHIB-USDT-SWAP,柴犬币,下跌,,2026-9-18 15:00:00,-22.6,,-0.0,0.0,48.28,,0.0,,0.1963,上涨,,2026-9-17 04:00:00,98.09,,0.0,0.0,29.21,,0.0,,0.7162,上涨,,2026-9-18 00:00:00,0.91,,-0.0,0.0,21.91,,0.0,,0.129,上涨,,2026-9-19 09:45:00,2.01,,0.0,0.0,13.47,,0.0,,0.2381
13,POL,POL-USDT-SWAP,多边形,下跌,0.1042,2026-9-19 09:00:00,-20.15,0.1063,0.0002,0.002,43.93,19.7554,0.1041,green,0.1254,上涨,0.0967,2026-9-17 04:00:00,99.6,0.1063,0.0024,0.0026,37.31,31.0442,0.1029,green,0.5481,上涨,0.0981,2026-9-17 00:00:00,83.35,0.1063,0.0006,0.0021,21.67,56.444,0.0966,green,0.396,上涨,0.1055,2026-9-19 10:00:00,7.39,0.1063,0.0002,0.0005,29.51,10.3481,0.1062,green,0.2727
14,XLM,XLM-USDT-SWAP,恒星币,下跌,0.1925,2026-9-19 06:00:00,-13.97,0.1952,0.0001,0.0022,38.08,12.2951,0.1928,green,0.3437,上涨,0.1828,2026-9-17 08:00:00,67.83,0.1952,0.0026,0.0028,24.35,25.1025,0.1913,green,0.5224,上涨,0.1922,2026-9-18 00:00:00,15.77,0.1952,0.0014,0.0029,17.89,54.8156,0.1823,green,0.2157,上涨,0.1938,2026-9-19 09:45:00,7.28,0.1952,0.0001,0.0005,22.1,6.1475,0.1937,green,0.1584
15,DASH,DASH-USDT-SWAP,达世币,上涨,59.53,2026-9-19 02:00:00,29.56,61.29,0.3287,0.7225,23.01,23.7739,61.22,green,0.0923,下跌,58.3,2026-9-18 16:00:00,-51.46,61.3,0.7548,1.8079,33.64,46.6607,60.3,green,0.0229,下跌,56.22,2026-9-11 00:00:00,-90.18,61.29,-1.0227,4.3852,42.36,90.9757,57.46,green,0.2811,下跌,62.95,2026-9-19 08:00:00,26.37,61.29,-0.5497,0.082,22.05,12.7133,61.22,green,0.5591
16,DOT,DOT-USDT-SWAP,波卡,下跌,1.1267,2026-9-18 19:00:00,-17.48,1.1464,-0.0056,0.0122,46.3,15.2652,1.1302,green,0.1987,下跌,1.1464,2026-9-19 08:00:00,0.0,1.1464,0.0245,0.0364,40.64,28.3496,1.1183,green,0.5502,下跌,1.0161,2026-9-13 00:00:00,-128.24,1.1464,0.0111,0.0574,35.53,62.3692,1.0509,green,0.457,下跌,1.1427,2026-9-19 11:30:00,-3.33,1.1465,0.0019,0.0027,12.0,6.6289,1.1352,green,0.1317
17,ATOM,ATOM-USDT-SWAP,宇宙,下跌,1.638,2026-9-18 19:00:00,-67.16,1.748,0.0049,0.038,50.04,14.5881,1.715,green,0.2963,上涨,1.518,2026-9-17 04:00:00,151.52,1.748,0.0516,0.0349,33.64,24.8856,1.686,green,0.9886,上涨,1.748,2026-9-19 00:00:00,0.0,1.748,-0.0026,0.0342,30.85,59.0961,1.543,green,0.2434,上涨,1.75,2026-9-19 10:30:00,-1.14,1.748,0.0024,0.0116,29.66,7.6087,1.743,green,0.3333
18,ETC,ETC-USDT-SWAP,以太经典,下跌,8.103,2026-9-19 01:00:00,-24.93,8.305,0.0001,0.1596,63.26,11.2824,8.252,green,0.8613,上涨,7.233,2026-9-17 00:00:00,148.21,8.305,0.2122,0.1858,29.93,20.8308,8.111,green,0.7815,上涨,8.305,2026-9-19 00:00:00,0.0,8.305,-0.0018,0.1506,31.99,54.4852,7.374,green,0.3018,下跌,8.273,2026-9-19 11:15:00,-3.87,8.305,0.0004,0.0388,27.28,6.1168,8.252,green,0.0811
19,BCH,BCH-USDT-SWAP,比特现金,下跌,248.8,2026-9-18 18:00:00,1.61,248.4,-2.1724,4.0014,54.87,17.4529,244.8,green,0.3395,上涨,220.9,2026-9-17 04:00:00,124.49,248.4,5.6899,7.4738,42.87,28.4795,244.8,green,0.4757,上涨,251.6,2026-9-18 00:00:00,-12.72,248.4,-0.406,-1.3746,26.11,64.3434,230.9,green,0.3397,下跌,249.3,2026-9-19 11:30:00,3.61,248.4,-1.8932,-0.8118,25.0,9.2516,244.8,green,0.9394
20,TON,TON-USDT-SWAP,电报币,下跌,1.922,2026-5-26 08:00:00,15.62,1.892,-0.0252,0.0271,35.89,21.6173,,,,上涨,1.8233,2026-5-25 12:00:00,38.25,1.893,0.0492,-0.0052,30.18,40.6762,,,,下跌,2.133,2026-5-15 00:00:00,112.52,1.893,-0.0997,0.0445,30.08,102.6941,,,,,,,,,,,,,,,
