rank,symbol,inst_id,name_cn,1H_趋势,1H_交易价格,1H_交易时间,1H_盈亏%,1H_收盘价,MACD_1H,DIF_1H,ADX_1H,ATR_1H,SAR_1H,SAR颜色_1H,ER_1H,4H_趋势,4H_交易价格,4H_交易时间,4H_盈亏%,4H_收盘价,MACD_4H,DIF_4H,ADX_4H,ATR_4H,SAR_4H,SAR颜色_4H,ER_4H,1D_趋势,1D_交易价格,1D_交易时间,1D_盈亏%,1D_收盘价,MACD_1D,DIF_1D,ADX_1D,ATR_1D,SAR_1D,SAR颜色_1D,ER_1D,15m_趋势,15m_交易价格,15m_交易时间,15m_盈亏%,15m_收盘价,MACD_15m,DIF_15m,ADX_15m,ATR_15m,SAR_15m,SAR颜色_15m,ER_15m
41,ENA,ENA-USDT-SWAP,,上涨,0.1746,2026-9-19 08:00:00,52.98,0.1839,0.0019,0.0044,42.32,24.4698,0.1704,green,0.6278,上涨,0.1465,2026-9-17 00:00:00,254.86,0.1839,0.0053,0.0077,43.32,39.6955,0.1662,green,0.7292,上涨,0.1839,2026-9-19 00:00:00,0.0,0.1839,0.0004,0.0072,39.74,83.1974,0.1506,green,0.7514,上涨,0.1707,2026-9-19 08:30:00,77.16,0.1839,0.0021,0.0033,39.33,14.6819,0.1764,green,0.6573
42,MORPHO,MORPHO-USDT-SWAP,,上涨,2.5798,2026-9-19 08:00:00,43.22,2.6913,0.049,0.0957,57.13,21.2537,2.4957,green,0.7825,上涨,2.1029,2026-9-17 04:00:00,292.5,2.718,0.1061,0.0918,38.7,30.6475,2.3798,green,0.8598,上涨,2.4266,2026-9-18 00:00:00,109.08,2.6913,0.0134,0.0079,18.35,68.4056,2.1801,green,0.489,下跌,2.7083,2026-9-19 11:15:00,-3.62,2.7181,0.0066,0.0712,56.76,15.7095,2.6736,green,0.2065
43,PEPE,PEPE-USDT-SWAP,,下跌,,2026-9-19 05:00:00,26.91,,-0.0,0.0,42.4,,0.0,,0.6738,上涨,,2026-9-17 04:00:00,107.81,,0.0,0.0,32.42,,0.0,,0.5467,上涨,,2026-9-17 00:00:00,33.21,,0.0,0.0,24.81,,0.0,,0.4632,上涨,,2026-9-19 10:15:00,-1.06,,-0.0,-0.0,26.04,,0.0,,0.1579
44,ICP,ICP-USDT-SWAP,,下跌,2.773,2026-9-18 18:00:00,-31.01,2.859,-0.007,0.0478,49.0,13.5362,2.854,green,0.0303,上涨,2.526,2026-9-16 16:00:00,131.83,2.859,0.0755,0.0541,26.59,25.4634,2.825,green,0.7755,下跌,2.762,2026-9-12 00:00:00,-35.12,2.859,-0.0206,0.083,32.75,61.525,2.572,green,0.1275,下跌,2.865,2026-9-19 11:15:00,2.09,2.859,-0.0063,0.006,13.7,6.2959,2.854,green,0.6207
45,WLD,WLD-USDT-SWAP,,下跌,0.4342,2026-9-18 21:00:00,14.28,0.428,-0.0029,0.0059,30.32,19.6262,0.4278,green,0.2515,上涨,0.3682,2026-9-16 16:00:00,162.41,0.428,0.0119,0.0124,31.98,34.3458,0.418,green,0.5017,上涨,0.4295,2026-9-19 00:00:00,0.0,0.4295,-0.0015,0.0068,25.13,81.4901,0.3744,green,0.1855,下跌,0.4289,2026-9-19 10:45:00,2.33,0.4279,-0.0001,0.0014,13.12,8.4132,0.4278,green,0.3134
46,SKY,SKY-USDT-SWAP,,下跌,0.07,2026-9-19 05:00:00,-0.86,0.0701,-0.0003,0.0024,60.48,19.9715,0.066,green,0.0723,上涨,0.0579,2026-9-17 16:00:00,209.18,0.0701,0.0029,0.0021,31.69,34.2368,0.0668,green,0.766,上涨,0.0703,2026-9-18 00:00:00,-2.85,0.0701,0.0002,0.0003,21.54,65.6205,0.0582,green,0.2773,下跌,0.0704,2026-9-19 10:30:00,4.41,0.0701,-0.0003,0.0001,20.7,8.5592,0.0698,green,0.761
47,VVV,VVV-USDT-SWAP,,上涨,28.168,2026-9-19 09:00:00,-0.28,28.16,0.119,0.7297,32.22,28.8956,27.9404,green,0.1431,上涨,23.177,2026-9-14 12:00:00,214.57,28.15,0.7352,1.2922,39.08,51.1297,26.7154,green,0.4914,上涨,26.491,2026-9-18 00:00:00,61.04,28.108,0.7562,2.6127,61.75,90.2839,23.3604,green,0.5053,下跌,28.318,2026-9-19 11:15:00,6.57,28.132,-0.0875,0.2391,28.17,13.5504,28.063,green,0.2648
48,LIT,LIT-USDT-SWAP,,上涨,4.7892,2026-9-19 09:00:00,21.01,4.8898,-0.0014,0.0026,19.15,27.3017,4.7822,green,0.0528,下跌,4.8582,2026-9-18 16:00:00,-6.5,4.8898,0.0128,0.1315,26.08,47.9774,4.6652,green,0.0839,下跌,4.5788,2026-9-10 00:00:00,-67.75,4.889,-0.0564,0.3593,46.67,93.2297,4.4311,green,0.3837,上涨,4.7892,2026-9-19 09:45:00,21.19,4.8907,0.0268,0.0252,20.43,13.863,4.8633,green,0.0211
49,ARB,ARB-USDT-SWAP,,下跌,0.2078,2026-9-18 18:00:00,-20.02,0.212,-0.0041,0.0061,48.86,37.7358,0.2104,green,0.6255,上涨,0.2262,2026-9-18 08:00:00,-62.78,0.212,0.0075,0.0185,56.52,63.2075,0.2104,green,0.3659,上涨,0.2107,2026-9-18 00:00:00,6.12,0.212,0.0098,0.0223,55.11,93.3962,0.1599,green,0.809,下跌,0.2117,2026-9-19 11:30:00,-1.56,0.212,-0.0015,-0.0016,16.13,17.9245,0.2104,green,0.4805
50,PI,PI-USDT-SWAP,,下跌,0.0853,2026-9-19 06:00:00,-11.25,0.0863,0.0003,0.0008,20.75,11.5875,0.0859,green,0.0933,上涨,0.082,2026-9-17 16:00:00,52.06,0.0863,0.0015,-0.002,34.3,25.4925,0.084,green,0.7331,下跌,0.0945,2026-9-6 00:00:00,86.49,0.0863,-0.003,-0.0014,35.47,52.1437,0.0806,green,0.4278,上涨,0.0864,2026-9-19 11:45:00,0.0,0.0864,0.0001,0.0003,17.83,5.787,0.0856,green,0.2727
51,QNT,QNT-USDT-SWAP,,上涨,51.98,2026-9-19 09:00:00,2.89,52.13,-0.2133,-0.5374,44.97,10.3088,51.85,green,0.0571,下跌,54.65,2026-9-18 16:00:00,46.11,52.13,-0.504,0.8462,39.27,21.6056,51.59,green,0.6086,上涨,49.05,2026-9-3 00:00:00,62.79,52.13,1.429,-0.5095,13.15,55.3194,51.59,green,0.2,上涨,52.22,2026-9-19 05:30:00,-1.72,52.13,0.1226,-0.0901,36.94,2.7719,52.05,green,0.5217
52,ALGO,ALGO-USDT-SWAP,,下跌,0.095,2026-9-18 18:00:00,-17.06,0.0966,-0.0004,0.0013,44.94,13.4576,0.096,green,0.2714,上涨,0.0911,2026-9-17 08:00:00,60.38,0.0966,0.0019,0.0012,25.05,27.9503,0.096,green,0.594,下跌,0.0919,2026-9-11 00:00:00,-50.58,0.0966,-0.0006,0.0014,22.55,60.0414,0.0892,green,0.0866,下跌,0.0977,2026-9-19 10:15:00,11.46,0.0966,-0.0006,-0.0002,21.74,7.2464,0.096,green,0.7818
53,JUP,JUP-USDT-SWAP,,下跌,0.2564,2026-9-18 18:00:00,-79.17,0.2767,0.0003,0.0077,61.35,17.7087,0.2629,green,0.6623,上涨,0.2187,2026-9-17 04:00:00,274.35,0.2787,0.0114,0.0105,31.86,33.3692,0.2622,green,0.8647,上涨,0.2767,2026-9-19 00:00:00,0.0,0.2767,0.0025,0.0107,36.91,80.5927,0.2162,green,0.284,上涨,0.2652,2026-9-19 07:45:00,50.9,0.2787,0.0016,0.0029,30.1,8.9702,0.2732,green,0.6391
54,RENDER,RENDER-USDT-SWAP,,下跌,1.498,2026-9-18 15:00:00,-52.74,1.577,-0.0022,0.0275,43.46,13.3164,1.548,green,0.5472,上涨,1.363,2026-9-17 04:00:00,157.01,1.577,0.0419,0.0507,39.1,23.272,1.533,green,0.7966,上涨,1.546,2026-9-18 00:00:00,20.05,1.577,0.0178,0.0092,23.61,57.7045,1.398,green,0.4591,下跌,1.573,2026-9-19 11:30:00,-2.54,1.577,0.0018,0.009,20.62,6.9753,1.571,green,0.0
55,FIL,FIL-USDT-SWAP,,上涨,0.9164,2026-9-19 03:00:00,66.13,0.977,0.0128,0.0321,59.53,19.9591,0.9563,green,0.8951,上涨,0.7981,2026-9-17 12:00:00,224.16,0.977,0.0348,0.0212,24.82,33.8792,0.9063,green,0.827,上涨,0.977,2026-9-19 00:00:00,0.0,0.977,0.0157,0.0439,24.45,77.0727,0.8093,green,0.3202,下跌,0.9609,2026-9-19 10:00:00,-16.76,0.977,0.0004,0.0146,45.72,13.4084,0.9631,green,0.3032
